"","city","data","total"
"1014","Austell",1,12190
"1015","Mendota Heights",6,154817
"1016","Rockwood",1,25277
"1017","Chamblee",8,34000
"1018","Dayton",4,78002
"1019","Leesburg",6,134510
"1020","Monument",1,7294
"1021","Greenville",2,27272
"1022","Detroit",1,3090
"1023","Panama City Beach",1,2848
"1024","Forksville",1,5557
"1025","Reston",2,34362
"1026","San Diego",6,111475
"1027","Brentwood",3,17873
"1028","Paterson",3,49483
"1029","Pascagoula",1,28084
"1030","Monroe",3,78877
"1031","Fresno",1,39995
"1032","Etowah",4,11990
"1033","Milwaukee",1,24046
"1034","Cornwall",1,16256
"1035","St. Louis",2,27645
"1036","Muncie",2,6162
"1037","Jacksonville",1,7028
"1038","Phoenix",1,1135
"1039","Phoenix",1,11041
"1040","Kansas City",1,37303
"1041","Sheboygan",1,16035
"1042","Myrtle Beach",1,12052
"1043","Durango",6,124345
"1044","Liberty",9,155998
"1045","Johnson City",4,17503
"1046","Montclair",3,33513
"1047","Hazleton",1,2042
"1048","Midland",1,330
"1049","Paducah",1,658
"1050","Kettering",10,447245
"1051","San Diego",3,77318
"1052","Hebron",2,11561
"1053","Port Richey",1,297
"1054","Little Rock",1,7726
"1055","Red Bluff",3,20994
"1056","Elko",4,91394
"1057","Cumberland",1,17560
"1058","Auburndale",1,21364
"1059","Roanoke",2,18243
"1060","Vinita",1,9002
"1061","San Bernardino",1,1527
"1062","Sherman",1,3379
"1063","Pueblo",1,4275
"1064","Wasilla",4,6281
"1065","Nevada",2,30911
"1066","Giddings",1,19382
"1067","Milpitas",1,385
"1068","Lake Charles",4,45204
"1069","Jay",2,931
"1070","Gardena",1,147
"1071","Westminster",1,78014
"1072","Maiden",1,2108
"1073","Billings",6,85098
"1074","Kaneohe",1,967
"1075","Rosamond",1,26956
"1076","Kennard",2,15152
"1077","Collinsville",1,17060
"1078","Phoenix",2,82739
"1079","Beach Park",11,4688346
"1080","Lawrence",2,21038
"1081","Kansas City",1,8132
"1082","San Bernardino",1,14693
"1083","Sedalia",1,8618
"1084","Atlanta",1,8960
"1085","Crown Point",3,110997
"1086","Lancaster",5,61537
"1087","Tunnel Hill",2,1870
"1088","Tunnel Hill",11,323152
"1089","Dowelltown",2,476143
"1090","Winter Haven",2,39587
"1091","Weippe",7,78394
"1092","Orlando",1,27777
"1093","Englewood",1,59433
"1094","Redding",4,21729
"1095","Bigfork",12,308096
"1096","Industry",1,26453
"1097","Adrian",1,2859
"1098","East Northport",3,34420
"1099","Bakersfield",7,131043
"1100","Oakland",3,65398
"1101","Gallup",3,29609
"1102","Gallup",1,36354
"1103","Clarkrange",3,3277
"1104","Mustang",2,9496
"1105","New Rochelle",2,1670
"1106","Socorro",1,16270
"1107","Aiken",1,1059
"1108","Corpus Christi",2,5073
"1109","Bryant",2,30623
"1110","Poteau",3,24887
"1111","Brooklyn",1,7372
"1112","Vallejo",2,218
"1113","Cottonwood",1,1614
"1114","Las Vegas",3,26973
"1115","Louisville",1,15551
"1116","Fayetteville",1,1491
"1117","Gresham",2,37604
"1118","Watertown",5,42095
"1119","Fountain",1,5020
"1120","Temple Terrace",1,38139
"1121","Philadelphia",1,30912
"1122","San Diego",2,7965
"1123","Sienna Plantation",2,130142
"1124","Snellville",2,11111
"1125","Yulee",1,33310
"1126","Columbus",1,3826
"1127","Centennial",1,2948
"1128","Portland",3,15457
"1129","North Little Rock",1,1018
"1130","Ogden",1,8045
"1131","Geneseo",1,3944
"1132","Tallahassee",3,7372
"1133","Wilburton",3,6473
"1134","Marrero",2,17454
"1135","Jacksonville",2,6962
"1136","Los Angeles",1,62166
"1137","Lansing",1,8669
"1138","Corpus Christi",4,55837
"1139","Manlius",3,69872
"1140","Jamestown",1,11089
"1141","Parma",2,22155
"1142","Houston",1,3461
"1143","Minneapolis",1,18016
"1144","Phoenix",2,12880
"1145","League City",3,58756
"1146","Jonesborough",6,683794
"1147","Colorado Springs",1,779
"1148","Kila",1,11078
"1149","Salt Lake City",3,39613
"1150","Paterson",2,43055
"1151","Nashville",1,25557
"1152","Phoenix",1,6718
"1153","Corpus Christi",1,11926
"1154","Greenwood",2,4743
"1155","Atmore",2,21169
"1156","Tallahassee",1,398
"1157","Chunchula",1,1722
"1158","Macon",1,241
"1159","Sale Creek",1,1898
"1160","Forrest City",7,111955
"1161","Germantown",1,18896
"1162","Pasco",2,19431
"1163","Suring",3,83853
"1164","Shenandoah",3,10795
"1165","Essex",1,1478
"1166","Greenville",3,93010
"1167","Castro Valley",2,35432
"1168","Pueblo",1,34049
"1169","Oxford",2,18528
"1170","Houston",2,2691
"1171","Los Angeles",2,3006
"1172","Raleigh",1,19842
"1173","Plainedge",1,25530
"1174","Deltona",2,4598
"1175","Twentynine Palms",1,4690
"1176","Evergreen",1,11168
"1177","Green Bay",2,66372
"1178","Greenville",1,8388
"1179","Orchard Mesa",1,53757
"1180","Calypso",2,461152
"1181","Claxton",3,9185
"1182","Houston",1,6169
"1183","Long Beach",2,12581
"1184","Pasadena",1,10856
"1185","Indianapolis",1,26510
"1186","Silver Spring",6,121187
"1187","Wasco",3,148164
"1188","Renton",1,641
"1189","Indianapolis",1,3901
"1190","San Antonio",1,4904
"1191","Las Vegas",2,18838
"1192","St. Cloud",2,6658
"1193","Half Moon Bay",3,42922
"1194","Webster Groves",1,15322
"1195","Monterey Park",3,122460
"1196","Sparks",1,14284
"1197","Muskogee",1,26941
"1198","San Jose",3,50952
"1199","Fort Lauderdale",1,2680
"1200","Overland Park",1,309
"1201","Boerne",1,52988
"1202","Hillrose",2,94756
"1203","Oakland City",3,28583
"1204","Denver",2,86068
"1205","San Diego",1,39899
"1206","Lakewood",1,22811
"1207","Little Rock",1,179
"1208","Portland",1,11493
"1209","Los Angeles",1,7601
"1210","League City",2,10477
"1211","Las Vegas",2,2908
"1212","Columbia City",1,51040
"1213","Jeffersonville",1,4502
"1214","Bristow",1,70166
"1215","Bristow",3,39301
"1216","Tampa",1,337
"1217","Buckeye",1,5511
"1218","Vancouver",9,334122
"1219","Bedford",1,2430
"1220","Houston",3,24430
"1221","Hogansville",4,69887
"1222","Fort Valley",1,9351
"1223","La Plata",1,301
"1224","Wayne",5,110001
"1225","Rock Island",2,11513
"1226","Hiram",1,6562
"1227","Austin",2,13427
"1228","Denton",3,8276
"1229","Lenoir",5,171644
"1230","Napa",1,320
"1231","Adel",1,106306
"1232","North Las Vegas",1,4768
"1233","Paterson",13,1020886
"1234","Longmont",2,57704
"1235","Missouri City",1,27715
"1236","Mesa",3,66721
"1237","Florence",2,2781
"1238","Springfield",1,12809
"1239","Las Vegas",4,61954
"1240","Houston",1,7921
"1241","Tucson",2,202401
"1242","East Wenatchee",3,28279
"1243","Henderson",1,1070
"1244","Rowlett",2,9637
"1245","Lancaster",2,60944
"1246","Milwaukee",1,8715
"1247","Colorado Springs",1,7719
"1248","San Leandro",3,94054
"1249","Raytown",1,14034
"1250","Bakersfield",1,1244
"1251","Mankato",2,59300
"1252","Anderson",1,1573
"1253","Daphne",1,24466
"1254","Lubbock",3,24481
"1255","Philipsburg",2,26973
"1256","Richmond",1,62998
"1257","Waukesha",7,72458
"1258","Augusta",1,8685
"1259","Blair",1,10441
"1260","Jefferson City",2,6266
"1261","Riverton",1,3951
"1262","Old Town",2,8310
"1263","Bakersfield",1,6383
"1264","Pompano Beach",1,48263
"1265","Daly City",1,5123
"1266","Tome",1,34851
"1267","Laredo",2,53637
"1268","Ritzville",7,417059
"1269","Jacksonville",1,1114
"1270","Milwaukie",1,2546
"1271","West Terre Haute",2,15693
"1272","Birmingham",3,36843
"1273","Philadelphia",5,133846
"1274","St. Louis",1,33617
"1275","Pottstown",5,215193
"1276","Fort Smith",1,2060
"1277","Cleveland",1,711
"1278","Colonial Heights",1,3089
"1279","Winchester",7,74107
"1280","Brandon",2,18884
"1281","Oceanside",3,49030
"1282","Columbia",2,62822
"1283","Salisbury",10,424700
"1284","El Mirage",3,26146
"1285","La Grande",7,108151
"1286","Knoxville",3,16431
"1287","Clinton",1,6406
"1288","Refugio",1,16277
"1289","Shreveport",5,17647
"1290","North Miami Beach",1,7659
"1291","Florence",1,362
"1292","Shreveport",2,3763
"1293","Hialeah",2,51308
"1294","Melbourne",1,9550
"1295","Manchester",1,109452
"1296","Milford",1,87723
"1297","Ada",1,34165
"1298","Manchester",1,1497
"1299","Trenton",2,17120
"1300","Irving",5,155079
"1301","Mesa",2,38654
"1302","Lincoln City",1,12850
"1303","Swartz",7,64826
"1304","Aguanga",3,8497
"1305","Columbus",4,14113
"1306","Wheatland",1,964
"1307","Asheville",1,369
"1308","Hinton",1,2487
"1309","Baltimore",1,8639
"1310","Louisville",8,473957
"1311","Pomona",1,16257
"1312","Albuquerque",1,603
"1313","Phoenix",1,5277
"1314","Caldwell",1,1631
"1315","Gray",7,192315
"1316","Newburgh",4,48065
"1317","Buchanan",1,10111
"1318","Turner",3,13354
"1319","Linwood",1,2659
"1320","Ormond Beach",1,424
"1321","Pahrump",1,3102
"1322","London",1,3507
"1323","El Paso",2,4058
"1324","Clemmons",2,17358
"1325","Schenectady",3,35528
"1326","Shelton",2,1382
"1327","San Antonio",1,4430
"1328","Mojave",1,7419
"1329","Fresno",1,13839
"1330","Taylorsville",2,16437
"1331","Villa Ridge",3,145149
"1332","Mojave",1,18460
"1333","Pine Ridge",1,11834
"1334","Carlsbad",2,21712
"1335","Virginia Beach",2,562
"1336","Tallahassee",1,25953
"1337","Winchester",2,31221
"1338","Cuthbert",3,101170
"1339","Port Jervis",2,84086
"1340","Wheeling",1,27061
"1341","Iota",1,2342
"1342","Granger",1,8594
"1343","Abilene",7,81974
"1344","Atlanta",2,15522
"1345","Grand Junction",2,69703
"1346","San Antonio",1,148145
"1347","Tucson",1,209
"1348","Myerstown",2,1703
"1349","Webster City",1,3610
"1350","Long Beach",1,20839
"1351","High Point",2,1160
"1352","Syracuse",1,33897
"1353","Dillon",1,6380
"1354","Chase City",1,58225
"1355","Cocoa",1,48662
"1356","Springfield",2,35941
"1357","San Joaquin",2,88673
"1358","Pueblo",5,24402
"1359","Garland",1,1338
"1360","Louisville",4,37114
"1361","Louisville",2,141500
"1362","Chandler",1,2568
"1363","Murfreesboro",4,101444
"1364","New Kensington",5,170009
"1365","Kansas City",4,55007
"1366","Potomac",1,769
"1367","Elkton",1,23853
"1368","Anchor Point",1,1033
"1369","Bell Gardens",1,1013
"1370","St. Louis",1,1165
"1371","Elmendorf",1,112650
"1372","Dinuba",1,22666
"1373","Humble",3,26811
"1374","Fort Lauderdale",4,130365
"1375","Montgomery",2,17872
"1376","Backus",2,15896
"1377","Wasilla",1,17656
"1378","Northridge",1,57695
"1379","Fairfield",2,28938
"1380","Edison",1,4351
"1381","Tucson",1,78
"1382","Tulsa",2,3497
"1383","Pittsburgh",1,176030
"1384","Richmond",7,79161
"1385","Columbia",1,804
"1386","Ozark",6,154468
"1387","St. Cloud",1,31118
"1388","Miami",1,19555
"1389","Tacoma",1,18242
"1390","Manila",2,2725
"1391","Riverside",1,1732
"1392","Houston",1,17708
"1393","Santa Clarita",5,49974
"1394","Pueblo",4,136133
"1395","San Antonio",2,37980
"1396","Henderson",3,22529
"1397","Milwaukee",1,5313
"1398","Mocksville",2,7587
"1399","Las Cruces",4,92490
"1400","Lakeville",1,5940
"1401","Moses Lake",1,1180
"1402","Jacksonville",2,94028
"1403","Colorado Springs",7,133191
"1404","Bradenton",5,914341
"1405","Clarkdale",2,34754
"1406","Kansas City",4,85925
"1407","Bradenton",1,10303
"1408","Greeley",1,2263
"1409","Tahlequah",1,67482
"1410","Queens",4,65496
"1411","Georgetown",3,81125
"1412","Pocatello",3,17894
"1413","Tuscumbia",1,4361
"1414","Dalzell",1,38297
"1415","Shreveport",2,5215
"1416","Milwaukee",1,673
"1417","Floresville",1,16807
"1418","Arnold",1,12381
"1419","Deming",1,805
"1420","Schuylkill Haven",1,9531
"1421","Arvada",1,1723
"1422","Columbus",2,12232
"1423","Long Beach",3,50299
"1424","Doylestown",2,11467
"1425","Red Bluff",1,15735
"1426","Orlando",6,49513
"1427","Hickory",1,6612
"1428","Greenville",1,2019
"1429","Long Beach",1,960
"1430","Poinciana",1,6496
"1431","Anchorage",2,14878
"1432","Commerce City",1,249
"1433","Rialto",1,14894
"1434","Silverton",1,41570
"1435","Lanesboro",2,24334
"1436","Salt Lake City",2,20767
"1437","Amarillo",1,58984
"1438","Sparks",2,33929
"1439","Dickinson",1,3202
"1440","Bossier City",3,64842
"1441","Baltimore",2,31451
"1442","Arlington",2,30188
"1443","Virginia Beach",1,7064
"1444","Albertville",2,3330
"1445","Forrest City",1,21129
"1446","Lafayette",3,32575
"1447","Chicago",1,854
"1448","Orlando",2,57873
"1449","Kennewick",4,93239
"1450","Byron",3,12404
"1451","Saginaw",1,97828
"1452","Birmingham",1,4879
"1453","Cuba",2,171108
"1454","Kansas City",2,10703
"1455","Sapulpa",1,215029
"1456","Port Charlotte",1,9172
"1457","Reno",1,1331
"1458","Conway",1,725
"1459","Home Garden",1,755
"1460","Topeka",1,758
"1461","Allen",1,22394
"1462","Salt Lake City",3,41487
"1463","Wauwatosa",1,24692
"1464","Minot",1,1219
"1465","Yuma",1,134
"1466","Spring Hill",3,49688
"1467","Gulfport",3,23738
"1468","Fort Myers",5,75522
"1469","Columbus",2,80441
"1470","Raleigh",2,35228
"1471","Hockingport",1,4220
"1472","Kasilof",2,20034
"1473","Scottsdale",1,7880
"1474","Tucson",2,7926
"1475","Graham",1,31569
"1476","Chandler",1,909
"1477","Marlow Heights",1,57860
"1478","Aiken",1,44770
"1479","Lexington Park",1,26521
"1480","Columbus",2,67355
"1481","Aurora",1,7354
"1482","San Diego",3,72117
"1483","San Angelo",2,3861
"1484","St. Petersburg",15,1662691
"1485","Atlanta",3,50446
"1486","Bloomingdale",2,18602
"1487","Savannah",1,17296
"1488","Paris",1,12522
"1489","Mesa",4,14189
"1490","Moore",2,5395
"1491","Arvada",2,25329
"1492","Jacksonville",1,33792
"1493","Owings Mills",3,12748
"1494","Denton",1,1998
"1495","Lacey",1,91888
"1496","Appleton",7,233184
"1497","Atkins",3,22473
"1498","Fountain Valley",2,10652
"1499","Waterbury",1,12036
"1500","Sedona",1,619
"1501","Lafayette",1,57027
"1502","Sebring",16,332318
"1503","Chesapeake",5,26271
"1504","Metairie",1,35911
"1505","Powder Springs",1,5101
"1506","Wausau",2,31701
"1507","Yerington",1,460
"1508","West Jefferson",1,7713
"1509","Lawrenceville",1,13292
"1510","Cocoa",2,39814
"1511","West Haven",2,1321
"1512","Mulberry",3,9753
"1513","Missoula",1,23683
"1514","The Villages",1,33474
"1515","San Antonio",1,7812
"1516","Gary",1,6969
"1517","Carthage",1,24368
"1518","Culver City",1,53447
"1519","Miami Beach",3,81777
"1520","Wheat Ridge",1,1870
"1521","Bainbridge",1,15164
"1522","New Castle",1,1027
"1523","Town and Country",1,4525
"1524","Philadelphia",1,5967
"1525","Muscoy",1,4544
"1526","Semmes",1,13609
"1527","Powhatan",4,116720
"1528","Bismarck",1,5647
"1529","New York",1,27944
"1530","Dallas",2,16020
"1531","Baker",1,962
"1532","Bismarck",4,62027
"1533","Asheboro",1,620
"1534","Delta Junction",1,8369
"1535","Phoenix",1,26723
"1536","Aurora",1,2340
"1537","Albuquerque",1,4540
"1538","Kailua",3,41036
"1539","Jacksonville",2,64748
"1540","Oklahoma City",1,245
"1541","Elkmont",3,21303
"1542","Lubbock",1,7631
"1543","Sparks",1,24755
"1544","Milford",1,1067
"1545","Chicago",1,9648
"1546","Spring Valley",2,2094
"1547","North Las Vegas",1,7338
"1548","Chicago",2,13080
"1549","Murrieta",2,21628
"1550","Holt",3,34205
"1551","Hillsboro",1,12219
"1552","Ansonia",1,234
"1553","Denver",1,3757
"1554","Central Point",1,32159
"1555","Grass Valley",5,237054
"1556","Warsaw",2,72386
"1557","Federal Way",1,19790
"1558","Chesterfield",4,109802
"1559","Omaha",1,1757
"1560","Cross Lanes",1,4867
"1561","Globe",1,25582
"1562","Blue Mountain",1,81004
"1563","Wichita",1,9449
"1564","Fulton",2,3329
"1565","El Centro",1,4763
"1566","Rapid City",1,27921
"1567","Juneau",1,20130
"1568","Houston",1,2893
"1569","Lancaster",2,39469
"1570","Bakersfield",3,26649
"1571","Elizabethton",1,33843
"1572","Clearlake Oaks",1,24881
"1573","Newport News",1,9540
"1574","South Ogden",1,1920
"1575","Memphis",1,13963
"1576","Auburndale",2,13349
"1577","Atlanta",1,30378
"1578","Ocala",2,26300
"1579","Oklahoma City",1,5662
"1580","Springfield",2,7581
"1581","Deltona",1,8364
"1582","San Antonio",3,124880
"1583","Phoenix",1,6517
"1584","Bryant",1,17479
"1585","Pittsburgh",2,59277
"1586","Hattiesburg",1,2585
"1587","Carrollton",1,94470
"1588","Evansville",3,94398
"1589","Ithaca",1,601
"1590","Huntington",1,1084
"1591","Winston-Salem",1,3296
"1592","Lynn",1,1406
"1593","Tempe",1,844
"1594","Lakewood",4,34875
"1595","Umatilla",1,1088
"1596","Carthage",1,8300
"1597","Brentwood",1,900
"1598","Davis",1,10228
"1599","Lenoir",6,83097
"1600","Tulsa",1,445
"1601","El Paso",3,174775
"1602","Kapolei",1,84579
"1603","Wilmington",1,28757
"1604","Great Falls",1,10323
"1605","Fort Walton Beach",4,194543
"1606","San Bernardino",1,1856
"1607","Honolulu",1,3335
"1608","Minneapolis",2,26949
"1609","Milwaukee",2,1464
"1610","Brownsville",1,3082
"1611","Akron",1,447
"1612","Jacksonville",2,27391
"1613","Detroit",1,16018
"1614","Pasco",1,9210
"1615","Tucson",1,701
"1616","Tampa",3,18859
"1617","Renton",1,283
"1618","Orange",1,3802
"1619","Anaheim",1,2724
"1620","St. Louis",1,151
"1621","Ozark",1,400
"1622","New Cordell",1,66929
"1623","League City",3,75667
"1624","Jersey City",1,2212
"1625","Jersey City",2,11661
"1626","Hesperia",3,29559
"1627","Semmes",3,23487
"1628","Beloit",2,17998
"1629","Andrews",1,33831
"1630","Fort Madison",2,16982
"1631","Elkland",1,6900
"1632","Independence",1,7533
"1633","Portland",1,246
"1634","Nokomis",2,84948
"1635","Fayetteville",1,6048
"1636","Westminster",1,11504
"1637","Bentonville",2,28931
"1638","Miramar",1,3194
"1639","Miramar",1,36957
"1640","Miramar",2,5843
"1641","Miramar",4,32299
"1642","San Bernardino",1,13247
"1643","Avon",4,74068
"1644","Marshall",1,536
"1645","Kansas City",2,20574
"1646","Syracuse",1,11077
"1647","Ada",1,39713
"1648","El Monte",1,96380
"1649","Mesa",1,110849
"1650","Temple",1,10209
"1651","Daytona Beach",1,37058
"1652","Plant City",1,897
"1653","Secaucus",2,25577
"1654","Morrow",3,168909
"1655","Concord",1,625
"1656","Warrior Run",1,5747
"1657","Fort Pierce",6,24351
"1658","Eugene",2,22677
"1659","Aurora",3,13145
"1660","Lakeland",1,273
"1661","Modesto",1,51818
"1662","Lewes",1,3652
"1663","San Antonio",1,7188
"1664","Tampa",5,254114
"1665","Bloomfield",1,4782
"1666","Mansfield",1,262
"1667","Parkton",2,118993
"1668","Greeneville",1,5922
"1669","Enumclaw",2,6664
"1670","Hollywood",1,24237
"1671","Great Falls",1,1142
"1672","Caledonia",2,28171
"1673","Chester",1,18616
"1674","Pueblo",1,16399
"1675","Elizabethtown",1,11705
"1676","Henderson",1,22194
"1677","Los Angeles",1,34792
"1678","Hampton",1,42214
"1679","Dahlonega",2,8055
"1680","Chicago",2,641
"1681","Los Angeles",1,8243
"1682","Horn Lake",1,4286
"1683","Morongo Valley",1,15850
"1684","Kewaunee",1,2527
"1685","Preston",1,2103
"1686","Randolph",1,2140
"1687","Mesa",1,13671
"1688","Mesa",1,8398
"1689","Carrollton",5,91079
"1690","Cleveland",1,78905
"1691","Charlotte",1,35
"1692","Everett",2,8740
"1693","Beaumont",1,24617
"1694","Menasha",2,20828
"1695","Jacksonville",1,28227
"1696","Los Angeles",1,49356
"1697","Wilson",3,16759
"1698","Yukon",1,4392
"1699","Kapolei",2,32847
"1700","Lakewood",1,9362
"1701","Loveland",1,436
"1702","Lakeland",1,3600
"1703","Cedar City",1,58098
"1704","Vallejo",2,31436
"1705","Athens",1,1977
"1706","San Jose",1,13671
"1707","Everett",1,21159
"1708","Union",5,140545
"1709","Lincolnton",1,4743
"1710","Louisville",2,1800
"1711","Wadsworth",1,731
"1712","Conyers",2,23918
"1713","Ashtabula",3,15127
"1714","San Antonio",3,54917
"1715","Fayetteville",1,12316
"1716","Henryetta",1,817
"1717","Tahlequah",7,93444
"1718","Cleveland",3,43914
"1719","Willis",1,99155
"1720","La Monte",1,1397
"1721","Sparta",1,1050
"1722","Glendale",2,42042
"1723","Las Cruces",1,20143
"1724","Two Rivers",1,44438
"1725","Phoenix",1,52381
"1726","Parkland",1,218400
"1727","Alma",1,549
"1728","Union Park",3,42062
"1729","Boulder",2,72495
"1730","Odessa",1,14201
"1731","Vero Beach",3,16601
"1732","Alamogordo",1,488
"1733","San Jose",1,7894
"1734","Pearson",1,18671
"1735","Bascom",1,133759
"1736","Lancaster",1,36194
"1737","Baltimore",2,79484
"1738","Ona",1,1065
"1739","Fresno",4,54824
"1740","Evansville",1,2021
"1741","Carmichael",4,58113
"1742","Madison",1,9649
"1743","Madison",1,4550
"1744","Porterville",1,5439
"1745","Tulsa",1,1308
"1746","Silver City",1,47450
"1747","Boyne Falls",1,667
"1748","Athens",1,3232
"1749","Cumming",3,43246
"1750","Albuquerque",1,14045
"1751","Morristown",1,270
"1752","Grove",1,16973
"1753","Bossier City",3,12227
"1754","Brooklyn",1,3956
"1755","Greenville",1,2186
"1756","Long Beach",2,19296
"1757","El Paso",2,89541
"1758","Spokane",1,1859
"1759","Albany",1,16476
"1760","Huntington",1,22899
"1761","Sweetwater",1,4985
"1762","New York",2,7079
"1763","Carson",1,843
"1764","Henderson",2,126814
"1765","Denver",1,16713
"1766","Hillsboro",3,9442
"1767","Tillmans Corner",3,57706
"1768","Dayton",1,47661
"1769","Leesburg",3,10952
"1770","St. Louis",2,73501
"1771","Boise",1,659
"1772","Victorville",7,152703
"1773","Easley",2,14896
"1774","Palestine",1,7610
"1775","Farmingdale",1,1604
"1776","Idaho Falls",1,5430
"1777","White Pigeon",2,184484
"1778","Bronx",1,7669
"1779","Oakridge",1,18971
"1780","Warren",1,10312
"1781","Fayette",2,200289
"1782","Roanoke",3,74773
"1783","Brooklyn",1,202
"1784","Stone Mountain",1,9205
"1785","Jamestown",2,9227
"1786","Goleta",1,6470
"1787","Wendell",1,5478
"1788","Albuquerque",1,1352
"1789","High Point",1,10982
"1790","Athens",2,24221
"1791","Ethel",2,27665
"1792","Glendale",1,100416
"1793","Buckeye",3,13464
"1794","Corpus Christi",3,30458
"1795","El Monte",1,21271
"1796","Fort Worth",1,1666
"1797","Myrtle Beach",4,38877
"1798","Tucson",1,12040
"1799","North Port",7,312666
"1800","Pine Bluff",1,7216
"1801","Kiowa",2,121363
"1802","Lancaster",2,1006
"1803","Oklahoma City",2,13748
"1804","Farmington",1,9892
"1805","Oklahoma City",5,199223
"1806","Deer Island",4,8564
"1807","Layton",1,45888
"1808","Beaumont",1,452
"1809","Lincoln",1,1594
"1810","Rutland",5,11135
"1811","Kountze",1,607
"1812","Tahlequah",3,39847
"1813","Whittier",1,1676
"1814","Herald",1,3763
"1815","Maryland Heights",2,287677
"1816","Carrollton",1,6859
"1817","Jacksonville",1,34616
"1818","Grovetown",1,9124
"1819","Palos Hills",2,3813
"1820","Gainesville",1,1274
"1821","Mountain View",1,7094
"1822","Bronx",1,13565
"1823","Bronx",1,835
"1824","Miami",1,16429
"1825","Boston",1,1869
"1826","Cockeysville",2,3318
"1827","Yucca Valley",1,10996
"1828","Monument",3,140545
"1829","Longview",1,16577
"1830","Leesville",1,2063
"1831","Dallas",1,17753
"1832","La Habra",2,8258
"1833","Hyattsville",1,1156
"1834","Hartsville",1,1886
"1835","Richlands",1,4531
"1836","Lacombe",1,90923
"1837","Aurora",1,31367
"1838","Huntington",1,100693
"1839","Sanford",1,125
"1840","Wilmington",1,15976
"1841","Lowell",1,35677
"1842","Rome",1,710
"1843","Riverton",2,324634
"1844","Ada",1,4058
"1845","Hampton",1,15938
"1846","Lakewood",2,1781
"1847","Gainesville",1,681
"1848","Long Beach",1,68878
"1849","Shannon",1,14692
"1850","Shannon",2,41547
"1851","Pittsburgh",1,75536
"1852","Memphis",2,26604
"1853","Tallahassee",1,558
"1854","Lexington",1,12584
"1855","Salem",3,72350
"1856","Staten Island",1,13496
"1857","Richmond",1,18310
"1858","Oceanside",1,5922
"1859","Milton",6,227289
"1860","Washington",4,55780
"1861","Houston",4,107404
"1862","Jonesboro",1,12375
"1863","Sanger",1,3185
"1864","Staunton",1,12176
"1865","Elizabethton",3,33481
"1866","Katy",1,9923
"1867","Oklahoma City",3,6164
"1868","St. Paul",12,242742
"1869","Arlington",1,23896
"1870","Plainview",2,86840
"1871","Baton Rouge",2,82476
"1872","Brackettville",1,13459
"1873","Houston",1,4679
"1874","Independence",2,46192
"1875","Santa Clarita",2,20359
"1876","Nacogdoches",1,3046
"1877","Columbus",1,1186
"1878","Burlington",1,25298
"1879","Wellington",2,48137
"1880","Phoenix",1,4880
"1881","Oklahoma City",1,120
"1882","Aberdeen",1,3745
"1883","Tacoma",3,101638
"1884","Longview",1,162
"1885","Richfield",2,12827
"1886","Glendora",4,40897
"1887","Las Vegas",1,14997
"1888","St. Louis",1,10839
"1889","Lagrange",1,95310
"1890","Victorville",1,5838
"1891","Rigby",3,115382
"1892","Coeur d'Alene",1,319
"1893","Bluff City",1,925
"1894","Kaukauna",1,392
"1895","Convoy",2,3255
"1896","Brooklyn",3,51500
"1897","Missoula",1,8708
"1898","Silver Springs",5,44703
"1899","Caldwell",1,6036
"1900","Sapulpa",1,12700
"1901","Kerrville",1,1007
"1902","Denver",1,10372
"1903","Brooklyn Center",2,32684
"1904","Clayton",1,3911
"1905","Florence",1,63015
"1906","Odessa",1,21184
"1907","Tolleson",1,2162
"1908","Jamaica",1,1360
"1909","Wilmington",1,10632
"1910","Bakersfield",1,170282
"1911","Red Bluff",1,6679
"1912","Carlsbad",1,57939
"1913","Baltimore",1,58440
"1914","Gordo",1,4096
"1915","Salina",1,16945
"1916","Maywood",3,39690
"1917","Overland",1,26256
"1918","Stockton",2,59772
"1919","Baton Rouge",1,17743
"1920","Knoxville",1,4319
"1921","Anchorage",1,3224
"1922","Dale",2,15407
"1923","San Diego",1,59890
"1924","Cottage Grove",3,28563
"1925","West Valley City",1,65791
"1926","Danville",1,43291
"1927","Westminster",1,9817
"1928","Albuquerque",3,924449
"1929","Dayton",1,19130
"1930","Elmira",5,36487
"1931","Hobbs",2,609314
"1932","Glennville",1,36223
"1933","Clinton",1,25007
"1934","Stanton",2,64367
"1935","Fort Worth",2,104430
"1936","North Aurora",1,20850
"1937","Nicholasville",2,76435
"1938","Laughlin",2,63141
"1939","Los Angeles",2,1391
"1940","Fullerton",3,44299
"1941","Los Angeles",3,49445
"1942","Clearwater",4,120456
"1943","Racine",1,26736
"1944","Dallas",2,52549
"1945","Gary",2,7290
"1946","Yorktown",1,9849
"1947","Springville",2,84534
"1948","Spokane Valley",1,1594
"1949","Ogden",1,22752
"1950","Denver",1,707
"1951","Houston",1,30233
"1952","Griffin",3,48393
"1953","Honea Path",1,34217
"1954","Louisville",2,17398
"1955","Kansas City",4,28454
"1956","Clinton",1,273
"1957","Ramseur",1,736
"1958","Joplin",1,797
"1959","Talladega",1,34332
"1960","Riverside",2,12368
"1961","Chetopa",1,664
"1962","Fort Worth",1,3784
"1963","Ripley",1,19320
"1964","Hephzibah",2,71166
"1965","Cleveland",1,8497
"1966","Garland",2,10154
"1967","Kansas City",1,35811
"1968","Montpelier",2,20148
