"","city","data","total"
"235","Griffin",1,159443
"236","Okmulgee",8,34917
"237","Green Forest",1,15434
"238","Denver",12,87236
"239","Braintree",8,254634
"240","Minneapolis",1,452
"241","Phoenix",7,256286
"242","Arvada",1,75489
"243","Hot Springs",2,24856
"244","Cartwright",18,847819
"245","Sumrall",10,703952
"246","Ray City",2,3408
"247","Milwaukee",1,4367
"248","Milwaukee",2,4945
"249","San Jose",4,78679
"250","Jemison",26,397264
"251","Yucca Valley",1,62290
"252","Quimby",18,401524
"253","Denver",20,252381
"254","Antlers",54,972943
"255","Jacksonville",6,188746
"256","Cedar Hill",3,1203230
"257","Columbia",1,1355
"258","Holy Cross",8,67598
"259","Lenexa",2,3120
"260","Washington",3,422269
"261","Villa Park",4,140937
"262","Nogales",1,2414
"263","College Station",1,47682
"264","Athens",6,46212
"265","Parkersburg",1,5719
"266","Red Bud",7,207557
"267","Troy",2,27676
"268","Linwood",1,11751
"269","Adel",5,267155
"270","Albany",5,138632
"271","Pittsburg",116,12750807
"272","Manorville",1,593
"273","Bristol",2,38307
"274","Denver",4,61966
"275","Mulliken",15,120728
"276","Champaign",21,642413
"277","Englewood",2,498328
"278","Hayden",1,22711
"279","Decatur",3,77624
"280","Montgomery",54,5743938
"281","Wimer",2,8388
"282","Peoria",31,909585
"283","Waldorf",1,32081
"284","Grandview",4,61339
"285","Baltimore",8,159203
"286","Omaha",4,267069
"287","Birmingham",20,412275
"288","Denver",2,10208
"289","Rochester",1,44262
"290","Campo",5,155499
"291","Grottoes",1,1939
"292","Fremont",1,6182
"293","Alvarado",2,41103
"294","Bakersfield",16,586048
"295","Boynton Beach",4,30690
"296","Stockton",4,24322
"297","San Luis Obispo",4,96664
"298","Lancaster",6,282762
"299","Glendale",7,142135
"300","Greenville",7,79604
"301","Oklahoma City",1,2719
"302","Riverside",1,928
"303","Baltimore",2,17725
"304","Clarksville",3,106280
"305","Providence",42,6445545
"306","Rutledge",16,121313
"307","Casper",1,17236
"308","San Andreas",1,6478
"309","Las Vegas",2,6504
"310","Winston-Salem",4,213055
"311","Mesquite",1,10763
"312","Woodbine",1,1901
"313","Glendale",1,67467
"314","McLean",2,169868
"315","Biloxi",4,41554
"316","Biloxi",4,37176
"317","Nashville",9,116672
"318","South Haven",1,2331
"319","Green Bay",10,237386
"320","Canon City",2,36266
"321","Washington",3,52020
"322","Kansas City",10,1478868
